{'loss': 1.9445244073867798, 'cancer_mean': 0.5289667844772339, 'tissue_mean': 0.7829461693763733, 'ad_mean': 0.5711655020713806, 'reconstruct_mean': 0.06144580990076065}
{'loss': 1.9484654664993286, 'cancer_mean': 0.5334927439689636, 'tissue_mean': 0.7817779779434204, 'ad_mean': 0.5721827745437622, 'reconstruct_mean': 0.061012059450149536}
{'loss': 1.9470727443695068, 'cancer_mean': 0.5293851494789124, 'tissue_mean': 0.7825639247894287, 'ad_mean': 0.5733969807624817, 'reconstruct_mean': 0.061726827174425125}
{'loss': 1.9414011240005493, 'cancer_mean': 0.5222991704940796, 'tissue_mean': 0.7826732993125916, 'ad_mean': 0.5751754641532898, 'reconstruct_mean': 0.0612531416118145}
{'loss': 1.9392309188842773, 'cancer_mean': 0.519461452960968, 'tissue_mean': 0.782850444316864, 'ad_mean': 0.5752593278884888, 'reconstruct_mean': 0.06165967509150505}
{'loss': 1.9397611618041992, 'cancer_mean': 0.5197170972824097, 'tissue_mean': 0.7787470817565918, 'ad_mean': 0.5795132517814636, 'reconstruct_mean': 0.06178373843431473}
{'loss': 1.9341394901275635, 'cancer_mean': 0.515455961227417, 'tissue_mean': 0.7777764797210693, 'ad_mean': 0.5787597298622131, 'reconstruct_mean': 0.062147337943315506}
{'loss': 1.9401311874389648, 'cancer_mean': 0.5208154916763306, 'tissue_mean': 0.778429388999939, 'ad_mean': 0.5784288644790649, 'reconstruct_mean': 0.06245739385485649}
{'loss': 1.9358997344970703, 'cancer_mean': 0.5130521059036255, 'tissue_mean': 0.7811176180839539, 'ad_mean': 0.5796809196472168, 'reconstruct_mean': 0.062049128115177155}
{'loss': 1.9417580366134644, 'cancer_mean': 0.5175945162773132, 'tissue_mean': 0.7781505584716797, 'ad_mean': 0.5836552381515503, 'reconstruct_mean': 0.062357671558856964}
{'loss': 1.9398348331451416, 'cancer_mean': 0.5144012570381165, 'tissue_mean': 0.7803547978401184, 'ad_mean': 0.5818961262702942, 'reconstruct_mean': 0.06318255513906479}
{'loss': 1.9459269046783447, 'cancer_mean': 0.5176193714141846, 'tissue_mean': 0.7815999388694763, 'ad_mean': 0.5855176448822021, 'reconstruct_mean': 0.06118983030319214}
{'loss': 1.9411537647247314, 'cancer_mean': 0.5118138790130615, 'tissue_mean': 0.7794091105461121, 'ad_mean': 0.5878505110740662, 'reconstruct_mean': 0.062080156058073044}
{'loss': 1.9298737049102783, 'cancer_mean': 0.5019549131393433, 'tissue_mean': 0.7770419716835022, 'ad_mean': 0.5889584422111511, 'reconstruct_mean': 0.06191820651292801}
{'loss': 1.9212721586227417, 'cancer_mean': 0.4889165759086609, 'tissue_mean': 0.7827094793319702, 'ad_mean': 0.5884702205657959, 'reconstruct_mean': 0.061175908893346786}
{'loss': 1.9249669313430786, 'cancer_mean': 0.4923672378063202, 'tissue_mean': 0.7774661183357239, 'ad_mean': 0.5924293398857117, 'reconstruct_mean': 0.06270421296358109}
